bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
8,924346,73217544,77029458,7474,7561,42,45,2.7813751795105435e-01,9.9994206720482326e-01
4,2906614,213828,267821,23621,23668,11,36,1.1552913354074048e+00,2.0828464990171967e-16
4,3137608,6625014,4805140,25464,25540,46,30,6.5493643860034889e-01,4.6883191614771391e-05
4,3138961,5391307,4322140,25477,25545,44,24,6.8066333651557132e-01,2.3221819648820004e-05
4,3890983,8131920,8965442,31628,31679,7,44,6.2970781878999660e-01,1.8623441437982287e-03
4,5553082,3725503,1113742,45096,45211,52,63,7.2750284972647927e-01,5.0547883167003863e-10
8,5623315,36441826,36460062,45698,45759,21,40,4.3921863454264393e-01,4.4778782050065485e-01
4,6196495,2676323,1530686,50332,50409,47,30,7.7098472401621210e-01,8.5149147260018267e-09
8,6212362,53771743,53661895,50482,50538,26,30,3.7255352816369519e-01,8.6084967589961336e-01
8,6238807,11203171,10037366,50677,50744,46,21,5.9061152115756244e-01,3.3503825850356873e-03
8,6555655,73747660,76957861,53239,53320,60,21,2.7406428225772345e-01,9.9993693156031471e-01
4,8508526,11751775,10247092,69144,69214,32,38,5.8478669399816319e-01,3.7225028700059865e-03
4,8795116,1134500,4362874,71495,71518,11,12,8.9052780562035350e-01,2.4741420651127198e-05
4,8879248,72191856,76066066,72149,72235,40,45,2.8544185157115237e-01,9.9984130160904339e-01
4,9300031,16388557,15305598,75577,75644,34,33,5.4411774618847619e-01,2.4347497757401675e-02
8,9906421,3491151,6505687,80521,80554,20,13,7.3594151537447416e-01,3.0657001254657455e-04
4,11111329,1618320,962878,90310,90381,27,44,8.3967036177440102e-01,1.3101681231608275e-10
8,11787952,3361212,8474443,95827,95851,11,13,7.4086588860272018e-01,1.3747718546468625e-03
8,12062857,34546438,33992229,98039,98127,34,54,4.4700969984406780e-01,3.7873156088275756e-01
4,13111924,7162348,5127347,106561,106639,41,37,6.4532624665141491e-01,7.0980298302722396e-05
8,13442056,77334769,71853495,109265,109292,21,6,2.3802864419302319e-01,9.9764899488685743e-01
8,13455955,22955038,25221285,109383,109422,16,23,5.0210160178293550e-01,1.6050583785513492e-01
8,13510813,16940145,15755219,109814,109882,31,37,5.4005219662207871e-01,2.7557129344561605e-02
4,15982621,1353822,551621,129908,129993,32,50,8.6495555552689585e-01,5.2963494069792181e-13
4,17976082,15678504,14816419,146110,146175,38,27,5.4953208718522595e-01,2.1168959305237864e-02
4,17977435,15710493,14849080,146116,146181,43,22,5.4928126705519398e-01,2.1373808070262342e-02
4,18043609,226498,500413,146674,146712,23,15,1.1452078666338810e+00,1.8932721359021659e-13
4,18595510,11121424,7006906,151135,151235,49,51,5.9149274896291715e-01,4.7423767731316900e-04
8,20454040,38379993,38156743,166272,166311,22,17,4.3143839707229281e-01,4.9557955585483404e-01
8,20523043,44055022,44800828,166815,166885,40,30,4.0937995544765060e-01,6.7479430070156454e-01
4,21184906,40232393,40161272,172214,172268,22,32,4.2414014036712561e-01,5.5160438063436945e-01
8,22090309,8524298,10675066,179583,179626,14,29,6.2395290421585947e-01,4.5723501110888388e-03
4,22335694,54304427,58622211,181557,181650,35,58,3.7049526793145465e-01,9.2865624873617880e-01
4,24066796,46411,139870,195652,195687,14,21,1.4413291310357834e+00,8.9383077862729591e-20
4,24066919,46412,139871,195652,195687,15,20,1.4413291310357834e+00,8.9383077862729591e-20
4,24067042,30478,116792,195656,195689,12,21,1.5225355095371920e+00,8.9261112281485116e-21
4,24745510,63793231,61523347,201154,201199,30,15,3.3118511966512570e-01,9.5624404928135820e-01
